Step  D LogE  Vis Blue  BlueNormal Green GreenNormal  BFvis BFvis+0.1 BFblue  BFblue+0.1  BFgreen BFgreen+0.1                        
21  3.02  0.4983520069  0.28    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
20  2.88  0.6383520069  0.28    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
19  2.73  0.7883520069  0.29    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
18  2.57  0.9483520069  0.29    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
17  2.43  1.088352007 0.31    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
16  2.28  1.238352007 0.37    0   0 0.28  0.38    0.1   0.1   1 0 1 0             
15  2.12  1.398352007 0.38    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
14  1.99  1.528352007 0.42    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
13  1.84  1.678352007 0.48    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
12  1.7 1.818352007 0.55    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
11  1.55  1.968352007 0.63    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
10  1.4 2.118352007 0.7   0   0 0.28  0.38    0.1   0.1   0 0 1 0             
9 1.26  2.258352007 0.77    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
8 1.1 2.418352007 0.85    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
7 0.94  2.578352007 0.93    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
6 0.8 2.718352007 0.99    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
5 0.66  2.858352007 1.06    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
4 0.53  2.988352007 1.13    0   0 0.28  0.38    0.1   0.1   0 0 1 0             
3 0.37  3.148352007 1.2   0   0 0.28  0.38    0.1   0.1   0 1 1 0             
2 0.21  3.308352007 1.29    0   0 0.28  0.38    0.1   0.1   0 1 1 0             
1 0.08  3.438352007                                             
