Step  D LogE  Vis Blue  BlueNormal Green GreenNormal  BFvis BFvis+0.1 BFblue  BFblue+0.1  BFgreen BFgreen+0.1                        
21  3.02  -0.04350198526  0.35    0   0 0.34  0.44    0.1   0.1   1 0 1 0             
20  2.88  0.09649801474 0.35    0   0 0.34  0.44    0.1   0.1   1 0 1 0             
19  2.73  0.2464980147  0.35    0   0 0.34  0.44    0.1   0.1   1 0 1 0             
18  2.57  0.4064980147  0.37    0   0 0.34  0.44    0.1   0.1   1 0 1 0             
17  2.43  0.5464980147  0.4   0   0 0.34  0.44    0.1   0.1   1 0 1 0             
16  2.28  0.6964980147  0.43    0   0 0.34  0.44    0.1   0.1   1 0 1 0             
15  2.12  0.8564980147  0.48    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
14  1.99  0.9864980147  0.54    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
13  1.84  1.136498015 0.6   0   0 0.34  0.44    0.1   0.1   0 0 1 0             
12  1.7 1.276498015 0.68    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
11  1.55  1.426498015 0.76    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
10  1.4 1.576498015 0.85    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
9 1.26  1.716498015 0.94    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
8 1.1 1.876498015 1.04    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
7 0.94  2.036498015 1.14    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
6 0.8 2.176498015 1.22    0   0 0.34  0.44    0.1   0.1   0 0 1 0             
5 0.66  2.316498015 1.31    0   0 0.34  0.44    0.1   0.1   0 1 1 0             
4 0.53  2.446498015 1.39    0   0 0.34  0.44    0.1   0.1   0 1 1 0             
3 0.37  2.606498015 1.48    0   0 0.34  0.44    0.1   0.1   0 1 1 0             
2 0.21  2.766498015 1.57    0   0 0.34  0.44    0.1   0.1   0 1 1 0             
